,Date,Class
252,2016-10-17,0
253,2016-10-17,0
254,2016-10-17,0
255,2016-10-17,0
256,2016-10-17,0
257,2016-10-17,0
258,2016-10-17,1
259,2016-10-14,0
260,2016-10-14,0
261,2016-10-14,0
262,2016-10-14,0
263,2016-10-14,0
264,2016-10-14,0
265,2016-10-14,1
266,2016-10-14,0
267,2016-10-14,0
268,2016-10-14,1
269,2016-10-13,0
270,2016-10-13,0
271,2016-10-13,1
272,2016-10-13,0
273,2016-10-13,0
274,2016-10-13,1
275,2016-10-12,0
276,2016-10-12,0
277,2016-10-12,1
278,2016-10-12,0
279,2016-10-12,0
280,2016-10-12,0
281,2016-10-12,1
282,2016-10-12,0
283,2016-10-12,0
284,2016-10-12,0
285,2016-10-12,0
286,2016-10-12,0
287,2016-10-10,0
288,2016-10-10,0
289,2016-10-10,0
290,2016-10-10,0
291,2016-10-10,0
292,2016-10-10,0
293,2016-10-10,0
294,2016-10-10,0
295,2016-10-10,0
296,2016-10-10,0
297,2016-10-08,0
298,2016-10-07,0
299,2016-10-07,0
300,2016-10-07,0
301,2016-10-07,0
302,2016-10-07,0
303,2016-10-07,0
304,2016-10-07,0
305,2016-10-07,0
306,2016-10-07,0
307,2016-10-07,0
308,2016-10-06,0
309,2016-10-06,0
310,2016-10-06,0
311,2016-10-06,1
312,2016-10-06,0
313,2016-10-06,0
314,2016-10-06,0
315,2016-10-06,0
316,2016-10-06,0
317,2016-10-06,0
318,2016-10-06,0
319,2016-10-05,0
320,2016-10-05,0
321,2016-10-05,0
322,2016-10-05,0
323,2016-10-05,0
324,2016-10-05,1
325,2016-10-05,0
326,2016-10-05,0
327,2016-10-05,1
328,2016-10-05,0
329,2016-10-05,0
330,2016-10-05,0
331,2016-10-05,0
332,2016-10-05,0
333,2016-10-04,0
334,2016-10-04,0
335,2016-10-04,0
336,2016-10-04,0
337,2016-10-04,0
338,2016-10-04,0
339,2016-10-04,0
340,2016-10-04,0
341,2016-10-04,0
342,2016-10-04,1
343,2016-10-04,0
344,2016-10-04,1
345,2016-10-04,-1
346,2016-10-04,0
347,2016-10-03,1
348,2016-10-03,0
349,2016-10-03,0
350,2016-10-03,0
351,2016-10-03,0
352,2016-10-03,0
353,2016-10-03,0
354,2016-10-03,0
355,2016-10-03,0
356,2016-10-03,0
357,2016-10-03,0
358,2016-10-03,0
359,2016-10-03,-1
360,2016-10-03,0
361,2016-10-03,-1
362,2016-10-03,-1
363,2016-10-03,1
364,2016-10-03,1
365,2016-10-01,0
366,2016-10-01,1
367,2016-09-30,0
368,2016-09-30,0
369,2016-09-30,0
370,2016-09-30,0
371,2016-09-30,0
372,2016-09-30,1
373,2016-09-30,1
374,2016-09-30,0
375,2016-09-29,-1
376,2016-09-29,0
377,2016-09-29,0
378,2016-09-29,0
379,2016-09-29,0
380,2016-09-29,0
381,2016-09-29,1
382,2016-09-28,0
383,2016-09-28,0
384,2016-09-28,0
385,2016-09-28,0
386,2016-09-28,0
387,2016-09-28,0
388,2016-09-28,0
389,2016-09-28,1
390,2016-09-28,0
391,2016-09-27,0
392,2016-09-27,-1
393,2016-09-27,-1
394,2016-09-27,1
395,2016-09-27,1
396,2016-09-27,1
397,2016-09-27,1
398,2016-09-27,1
399,2016-09-27,1
400,2016-09-27,0
401,2016-09-27,-1
402,2016-09-27,0
403,2016-09-27,0
404,2016-09-27,0
405,2016-09-26,1
406,2016-09-26,0
407,2016-09-26,0
408,2016-09-26,0
409,2016-09-26,-1
410,2016-09-26,0
411,2016-09-26,0
412,2016-09-26,1
413,2016-09-26,0
414,2016-09-26,0
415,2016-09-26,0
416,2016-09-26,0
417,2016-09-26,0
418,2016-09-26,0
419,2016-09-26,0
420,2016-09-26,0
421,2016-09-26,1
422,2016-09-26,0
423,2016-09-26,0
424,2016-09-26,0
425,2016-09-26,0
426,2016-09-26,0
427,2016-09-26,0
428,2016-09-26,0
429,2016-09-26,-1
430,2016-09-26,0
431,2016-09-26,0
432,2016-09-26,0
433,2016-09-26,0
434,2016-09-26,0
435,2016-09-26,0
436,2016-09-26,-1
437,2016-09-24,0
438,2016-09-23,0
439,2016-09-23,0
440,2016-09-23,1
441,2016-09-22,1
442,2016-09-22,0
443,2016-09-22,1
444,2016-09-22,0
445,2016-09-22,0
446,2016-09-22,1
447,2016-09-22,0
448,2016-09-22,0
449,2016-09-22,1
450,2016-09-22,0
451,2016-09-21,1
452,2016-09-21,1
453,2016-09-21,1
454,2016-09-21,1
455,2016-09-21,1
456,2016-09-21,1
457,2016-09-21,1
458,2016-09-21,1
459,2016-09-21,1
460,2016-09-21,0
461,2016-09-21,0
462,2016-09-21,-1
463,2016-09-21,0
464,2016-09-21,1
465,2016-09-21,0
466,2016-09-20,0
467,2016-09-20,0
468,2016-09-20,1
469,2016-09-20,1
470,2016-09-20,1
471,2016-09-20,1
472,2016-09-20,1
473,2016-09-20,0
474,2016-09-20,0
475,2016-09-20,0
476,2016-09-20,0
477,2016-09-20,0
478,2016-09-20,0
479,2016-09-20,-1
480,2016-09-20,0
481,2016-09-20,0
482,2016-09-19,0
483,2016-09-19,0
484,2016-09-19,0
485,2016-09-19,1
486,2016-09-19,0
487,2016-09-18,-1
488,2016-09-16,0
489,2016-09-16,0
490,2016-09-15,0
491,2016-09-15,0
492,2016-09-14,0
493,2016-09-13,0
494,2016-09-13,0
495,2016-09-13,0
496,2016-09-13,-1
497,2016-09-12,0
498,2016-09-12,0
499,2016-09-12,0
500,2016-09-12,0
501,2016-09-12,0
502,2016-09-12,0
503,2016-09-12,0
504,2016-09-12,0
505,2016-09-12,0
506,2016-09-11,0
507,2016-09-09,0
508,2016-09-09,0
509,2016-09-09,0
510,2016-09-09,0
511,2016-09-09,0
512,2016-09-09,0
513,2016-09-09,-1
514,2016-09-09,1
515,2016-09-09,0
516,2016-09-09,0
517,2016-09-09,0
518,2016-09-09,0
519,2016-09-09,0
520,2016-09-09,1
521,2016-09-09,1
522,2016-09-09,0
523,2016-09-08,0
524,2016-09-08,0
525,2016-09-08,0
526,2016-09-08,0
527,2016-09-08,0
528,2016-09-08,0
529,2016-09-08,0
530,2016-09-08,0
531,2016-09-08,0
532,2016-09-08,1
533,2016-09-08,0
534,2016-09-08,0
535,2016-09-08,0
536,2016-09-08,0
537,2016-09-07,1
538,2016-09-07,0
539,2016-09-07,0
540,2016-09-07,0
541,2016-09-07,0
542,2016-09-06,1
543,2016-09-06,1
544,2016-09-06,0
545,2016-09-06,1
546,2016-09-06,1
547,2016-09-06,0
548,2016-09-06,1
549,2016-09-06,0
550,2016-09-06,0
551,2016-09-06,0
552,2016-09-06,0
553,2016-09-06,0
554,2016-09-06,1
555,2016-09-06,1
556,2016-09-05,0
557,2016-09-05,0
558,2016-09-05,-1
559,2016-09-05,0
560,2016-09-05,0
561,2016-09-05,0
562,2016-09-05,0
563,2016-09-05,1
564,2016-09-05,0
565,2016-09-05,0
566,2016-09-02,0
567,2016-09-02,0
568,2016-09-02,0
569,2016-09-02,0
570,2016-09-02,0
571,2016-09-02,-1
572,2016-09-01,-1
573,2016-09-01,-1
574,2016-09-01,-1
575,2016-09-01,-1
576,2016-09-01,-1
577,2016-09-01,-1
578,2016-09-01,-1
579,2016-09-01,-1
580,2016-09-01,0
581,2016-09-01,0
582,2016-09-01,-1
583,2016-09-01,0
584,2016-09-01,0
585,2016-09-01,-1
586,2016-09-01,-1
587,2016-09-01,0
588,2016-08-31,0
589,2016-08-31,0
590,2016-08-30,-1
591,2016-08-30,-1
592,2016-08-30,-1
593,2016-08-30,-1
594,2016-08-30,-1
595,2016-08-30,-1
596,2016-08-30,-1
597,2016-08-30,-1
598,2016-08-30,0
599,2016-08-30,0
